,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Hist2h2ac,0.00649969129509208,0.0123201594906952,NA,NA,NA,NA,1.038295698,NA,NA,1.038295698
Hnrnpab,0.0108873463540646,0.0189520473570754,0.185527773025933,0.234350871190653,NA,0.468092091,1.012926174,0.671669027,0.468092091,0.8422976005
Hnrnpk,0.013910653618768,0.0224343384341895,0.0583066984038867,0.0905059199105107,0.881194737,1.134413697,0.614662735,0.87450759,1.007804217,0.7445851625
Hnrnpm,0.00230152348134563,0.0059156345731462,0.084293943529063,0.121669747207866,NA,0.853892246,1.117096566,1.683020169,0.853892246,1.4000583675
Hsp90aa1,0.00189309741862857,0.00506365081893334,0.08384272046465,0.121669436209167,0.954717448,0.757745063,1.755101219,1.17299399,0.8562312555,1.4640476045
Hsp90ab1,0.00273093608982681,0.00651070995328276,0.183705728622605,0.232992631423791,0.515813357,0.431306305,0.963770031,1.722324647,0.473559831,1.343047339
Hspa1b,0.0155537170300234,0.0246330379437969,NA,NA,NA,NA,NA,0.698974324,NA,0.698974324
Hspa5,0.00544378434885245,0.01072458114235,0.0354733757382265,0.0591855252958646,1.036116453,1.358158064,0.980171574,1.225699982,1.1971372585,1.102935778
Hspa9,0.00688982124275198,0.0128792681185534,0.0449839772060634,0.0719743635297014,1.033581579,1.184293423,1.468687573,0.564819484,1.108937501,1.0167535285
Hspd1,0.0333280298508134,0.0461300825486188,0.255383688258548,0.299835660459475,0.10433666,0.452885835,0.366252264,NA,0.2786112475,0.366252264
Hspg2,0.0033891878554785,0.00763727948255087,NA,NA,NA,NA,1.739848103,0.799570979,NA,1.269709541
Jup,0.012569035877484,0.0210954103653682,0.0225050759818197,0.0410618930194605,-2.738023959,-0.964213778,2.40650946,-0.835681584,-1.8511188685,0.785413938
Ldha,0.00659590331002232,0.012400298222842,0.220387587038206,0.268352925337291,NA,0.369203153,1.258760107,0.806997899,0.369203153,1.032879003
Mbp,0.0155734707972941,0.0246330379437969,0.191411849636385,0.238881988346209,0.425781539,0.475535074,0.543297901,0.853605451,0.4506583065,0.698451676
Mpz,0.0134744274454266,0.0219459734135908,0.126869905068599,0.170618148195702,0.571628274,0.759453637,0.469781807,1.045163461,0.6655409555,0.757472634
Ncl,0.0146923313854583,0.0235794001259306,0.0925900927551473,0.131309586089118,1.058939855,0.565993683,0.910809399,0.533868871,0.812466769,0.722339135
Ndel1,0.00133087669483862,0.00390945029108844,NA,NA,NA,NA,NA,1.57664773,NA,1.57664773
Ndufa4,0.0237234670360434,0.034798863714066,0.26367325584003,0.303564781631326,0.247684513,0.268608191,NA,0.519631463,0.258146352,0.519631463
Nid1,0.0129678324082926,0.0213320843116414,NA,NA,NA,NA,0.772899122,NA,NA,0.772899122
P4hb,0.0125575613392747,0.0210954103653682,NA,NA,NA,NA,0.364796523,1.206761645,NA,0.785779084
Pdia3,0.0255537825694603,0.0370360989663103,0.508168512602607,0.521541368197412,-0.507972508,0.045744121,0.392427338,0.581237946,-0.2311141935,0.486832642
Pfkp,0.00390395515359609,0.00850596851346432,0.149733055804079,0.195952004351435,NA,0.58255521,NA,1.220815936,0.58255521,1.220815936
Pgam5,1.35803652129955e-05,0.00013539212591138,NA,NA,NA,NA,3.199845065,2.418504129,NA,2.809174597
Plec,0.0178206452079807,0.027143482747341,0.484662788904003,0.500711225622679,-0.416654223,-0.139862368,0.281193775,1.003611254,-0.2782582955,0.6424025145
Prdx1,0.00194053431424278,0.00514803789842368,0.0611966809336746,0.094055982518751,0.779721981,1.196938325,1.304744658,1.607264943,0.988330153,1.4560048005
Prdx2,0.0209920263958867,0.0311098048839943,NA,NA,NA,NA,NA,0.572780028,NA,0.572780028
Prkra,0.0159401533749345,0.0250923945471456,NA,NA,NA,NA,0.688851744,NA,NA,0.688851744
Prx,0.0055352647420229,0.0108398934531282,0.221047121191294,0.268352925337291,0.307311939,0.427537141,1.326997465,0.866831067,0.36742454,1.096914266
