,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Psmd2,5.38737544979834e-07,1.18163101532244e-05,8.82335607813431e-10,1.83525806425194e-08,6.042972583,3.090864395,4.000991512,3.025735022,4.566918489,3.513363267
Psmd3,0.00106219576707456,0.0033808471245596,5.28316256883948e-08,4.70956206136548e-07,3.994308175,4.01730024,0.232783534,3.061059356,4.0058042075,1.646921445
Psmd5,1.23109635834295e-05,0.000130655065127365,2.61111584864402e-07,2.03667036194233e-06,4.032806145,3.50082202,3.399171094,2.265067152,3.7668140825,2.832119123
Psmd6,1.94053640466096e-05,0.000177343465870404,3.86571479606977e-07,2.87167384850897e-06,3.924479992,3.487653758,2.518182605,2.931370459,3.706066875,2.724776532
Psmd7,2.33203339454295e-07,7.67238986804632e-06,1.26947780381125e-07,1.04230809155029e-06,3.91981677,3.832755128,3.506144903,3.857134382,3.876285949,3.6816396425
Psmd8,0.0001490216040662,0.000868193976448742,5.31127081797788e-06,2.67276854065984e-05,3.512858954,3.038598927,2.794166298,1.626424169,3.2757289405,2.2102952335
Pura,0.00125546143199778,0.00373996284101079,0.00709226835522732,0.0162704979914039,1.835641165,1.593398026,1.524113838,1.665797879,1.7145195955,1.5949558585
Purb,0.00138411421470747,0.00397826862165443,0.00875450575906957,0.0187082588823953,1.563597463,1.742699665,1.238481171,1.89009122,1.653148564,1.5642861955
Rpl10,2.90415662944208e-06,5.02877647940235e-05,0.00306700368582942,0.00797282258655138,1.944895918,NA,NA,3.157914206,1.944895918,3.157914206
Rpl10a,5.87962095342541e-05,0.000424207323686374,0.00208506058800676,0.00572993869830645,2.123997204,1.964939203,2.507058837,2.39775218,2.0444682035,2.4524055085
Rpl12,0.000709179760071453,0.00265136523935805,0.0109954683598466,0.0221328137307879,1.611361264,1.558431534,1.770490792,1.768715064,1.584896399,1.769602928
Rpl13,0.00140252750683187,0.00397826862165443,0.0080079392728066,0.0177196954121678,1.641823444,1.716813093,1.822934048,1.297289271,1.6793182685,1.5601116595
Rpl14,0.00607292064650736,0.0116162261203542,0.0262449073568805,0.0465250630417427,NA,1.303756854,0.718526026,1.40789942,1.303756854,1.063212723
Rpl17,0.000383938854211081,0.00164870396265197,0.0044896123599838,0.0112060724505196,1.759837596,1.925658983,2.182755851,1.714775355,1.8427482895,1.948765603
Rpl21,0.0001909869945021,0.00102413580525262,0.00891791681752689,0.0187999327504621,1.647682908,NA,1.993348292,2.293288224,1.647682908,2.143318258
Rpl23,0.00102894872328072,0.00335172405900352,0.0106694819561234,0.0216160933137046,1.594022969,NA,1.65672517,NA,1.594022969,1.65672517
Rpl23a,0.000243199278187957,0.00119421735110206,0.00828498236878499,0.0180763251682582,1.579083579,1.759649031,1.993819258,2.160233859,1.669366305,2.0770265585
Rpl27,1.21435185717042e-05,0.000130655065127365,0.000812069495231551,0.00241300650011661,2.271604956,2.275786313,2.801924302,2.868700269,2.2736956345,2.8353122855
Rpl27a,1.1513620431401e-05,0.000130620038687273,0.00691720818852641,0.0161111526326668,1.268913416,2.174491136,3.252809222,2.442614419,1.721702276,2.8477118205
Rpl3,0.000104548009657035,0.000649706291789522,0.0231403778195666,0.0417329357208368,1.33187716,1.361601738,2.415569395,2.192776988,1.346739449,2.3041731915
Rpl30,0.00107736419535147,0.0033808471245596,0.00431795740916523,0.0108645379972545,1.731487392,1.975283173,1.335940529,1.949143114,1.8533852825,1.6425418215
Rpl31,0.000361452620950065,0.00162501521075895,0.0100738641978329,0.0205427818936201,1.620820976,1.601868568,1.836489726,2.095419565,1.611344772,1.9659546455
Rpl36a,3.59429185653455e-07,8.4465858628562e-06,4.25178036310612e-05,0.000176874063105215,NA,2.896253959,NA,3.59534098,2.896253959,3.59534098
Rpl37a,0.000163904374033181,0.000913975238252823,0.000435466418257475,0.00134520319303299,2.610038557,2.221623189,2.291190964,2.078259014,2.415830873,2.184724989
Rpl6,0.000127851356471489,0.000778946227391112,0.019575904769003,0.0359275428701703,NA,1.402549872,2.117528824,2.384734384,1.402549872,2.251131604
Rpl8,2.28633563242249e-05,0.000203298492720811,0.000840918529082027,0.00247515642522257,2.746226761,1.784830863,2.876133814,2.494840763,2.265528812,2.6854872885
Rpl9,5.9311662278338e-05,0.000424207323686374,0.00581678608688385,0.0142900571583288,2.055126225,1.486731613,2.552622992,2.347765927,1.770928919,2.4501944595
