	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
Ighv14-4	0.0118146876260732	0.0202949155006859	7.5927787790426e-06	3.70147965478327e-05	-3.708226723	NA	-3.871083722	NA	-3.708226723	-3.871083722	1.54534590014016e-06	5.3740694511413e-06
Ighv2-2	NA	NA	0.00299832785460263	0.00792778212403408	-2.445833582	NA	NA	NA	-2.445833582	NA	NA	NA
Ighv2-3	0.185839112703836	0.216812298154475	4.40867374117688e-08	4.16820062802178e-07	NA	4.527070336	-2.454426944	NA	-4.527070336	-2.454426944	1.60747290714639e-07	7.63549630894533e-07
Ighv2-5	0.0154115754618015	0.0246136326550131	5.50524160277843e-05	0.000212053750625539	-3.341186196	NA	-3.763778037	NA	-3.341186196	-3.763778037	1.27095803115828e-05	3.88591765848394e-05
Ighv2-9-1	0.000159423384558805	0.000904315405514599	5.17750685191992e-09	8.64039010518067e-08	-4.707114616	4.947432389	-4.915195523	5.591230599	-4.8272735025	-5.253213061	2.37908643633384e-11	2.5313479682592e-10
Ighv3-6	0.127658209160204	0.151077520912615	NA	NA	NA	NA	-2.706982728	NA	NA	-2.706982728	NA	NA
Ighv4-1	0.615392478302483	0.684000423518638	0.152607276945929	0.198389460029707	-1.033215178	1.102254994	-1.181574786	1.272560739	-1.067735086	-1.2270677625	0.316054414414422	0.338993847718695
Ighv5-16	0.000150416585585344	0.000868193976448742	2.83580184697609e-08	2.85409734276304e-07	-4.169446106	5.011585089	-5.054092703	5.483557842	-4.5905155975	-5.2688252725	1.15938686478442e-10	1.1014175215452e-09
Ighv6-3	0.00874817277873554	0.0159013748298563	3.67873515878457e-06	1.94536503311998e-05	NA	3.833902077	NA	3.987957476	-3.833902077	-3.987957476	5.87384948038112e-07	2.33200591310654e-06
Ighv6-6	0.0277059434539584	0.0398046087176957	8.89974412604959e-05	0.000326672960862056	-3.589893393	2.902382351	-3.886427509	3.137011612	-3.246137872	-3.5117195605	3.4306119868888e-05	9.21760392436788e-05
Ighv7-1	0.09264716005887	0.111651705711971	0.000301753023274489	0.000960683094506538	NA	2.991481031	-2.635315518	3.165654722	-2.991481031	-2.90048512	0.00032107714757751	0.000623405264639546
Ighv8-12	0.00359108802975211	0.00800679451827146	3.79171560943752e-12	3.94338423381502e-10	NA	5.724377422	-4.016249352	4.605375803	-5.724377422	-4.3108125775	4.48353537007333e-13	7.01541416729121e-12
Ighv9-1	0.0036271177283293	0.00800887068872712	8.0994716594921e-06	3.82884114812354e-05	-3.380265852	4.013372926	-4.092733968	4.521992956	-3.696819389	-4.307363462	5.38876677036824e-07	2.205249170643e-06
Ighv9-4	0.00306802521325223	0.00715872549758854	0.000216152630696823	0.000702496049764676	-4.758789493	1.367371066	-4.364741526	NA	-3.0630802795	-4.364741526	1.00974641324223e-05	3.12316913863293e-05
Igkv10-96	0.000756343415886585	0.00270474982420312	1.00144540022018e-08	1.25347999372743e-07	-4.881379802	4.592277624	-4.852750619	4.769930385	-4.736828713	-4.811340502	2.0152549539719e-10	1.67518068048914e-09
Igkv12-38	0.00116875749345138	0.00362008957762121	8.08991542778608e-07	5.37032683716863e-06	-3.013101271	5.155506389	-3.776730687	5.579904211	-4.08430383	-4.678317449	2.05926451723336e-08	1.16545608847675e-07
Igkv17-127	0.0300135759464476	0.042198574728125	0.00359556045081394	0.00919520377585204	-2.39775218	NA	-3.266593593	3.684369929	-2.39775218	-3.475481761	0.00109363432104982	0.00189687652368738
Igkv3-1	3.19460068253173e-05	0.000262755906138235	2.87989240711203e-06	1.57636215968238e-05	-3.737273402	4.013640911	-6.546245393	4.784399284	-3.8754571565	-5.6653223385	2.21807394698663e-09	1.51284017922678e-08
Igkv4-53	4.70959726105081e-05	0.000360338953229236	4.81524049926988e-08	4.41869128168295e-07	-5.086421591	3.942139121	-6.063614207	5.074933523	-4.514280356	-5.569273865	6.3072112217878e-11	6.4527622499829e-10
Igkv4-63	3.34579569318237e-07	8.4465858628562e-06	2.20576549575955e-08	2.37309942992062e-07	-4.626254916	NA	-6.670751921	NA	-4.626254916	-6.670751921	2.475265445855e-13	4.70300434712451e-12
Igkv4-70	0.00264543906208086	0.00635291570382922	5.95965525991155e-09	9.29706220546201e-08	NA	4.808127587	NA	4.414744422	-4.808127587	-4.414744422	4.07913958189955e-10	3.01403091329245e-09
Igkv4-72	NA	NA	0.000405334915871497	0.00126464493751907	-2.926755589	NA	NA	NA	-2.926755589	NA	NA	NA
Igkv4-86	0.493348962961718	0.555862358953443	0.0846228690516249	0.121669747207866	-1.298921199	1.395446736	-1.656580807	1.438931542	-1.3471839675	-1.5477561745	0.174345899198386	0.18928983341539
Igkv5-39	0.0385248831745386	0.0517334145486661	0.000354713068913888	0.00111788361112256	-2.75467472	3.157690514	-3.106560123	3.611644543	-2.956182617	-3.359102333	0.000166725324010316	0.000355946333947414
Igkv6-13	2.00042461863249e-06	4.11337312206307e-05	1.50426416238481e-10	4.26664016967328e-09	-5.334272519	5.237907832	-6.161111144	6.438292852	-5.2860901755	-6.299701998	1.10555889652724e-14	4.90131110793744e-13
Igkv6-14	0.000424625679524202	0.00179104934055721	NA	NA	NA	NA	-4.992310765	4.969564958	NA	-4.9809378615	NA	NA
Igkv6-29	0.000104663931504087	0.000649706291789522	8.74157509249246e-10	1.83525806425194e-08	-5.322332106	4.803898622	-5.761174017	4.968643756	-5.063115364	-5.3649088865	2.83833571163024e-12	3.4318059058802e-11
Igkv8-19	0.108147310828988	0.128914729212815	5.27772817785123e-12	4.11662797872396e-10	-5.68638728	NA	-1.613696707	4.004860898	-5.68638728	-2.8092788025	1.66618574942066e-11	1.8466892056079e-10
Igkv8-26	NA	NA	5.13076575521344e-05	0.000205230630208537	-3.354907085	NA	NA	NA	-3.354907085	NA	NA	NA
Igkv8-27	0.00474633787828218	0.00969903827301141	8.09106609834304e-05	0.00030052531222417	-3.148288931	3.38211386	-3.592414478	4.833750313	-3.2652013955	-4.2130823955	6.05712069471885e-06	1.94655571914201e-05
Igkv8-28	0.00940772275936748	0.0167898302216117	6.29072532379824e-06	3.11540682702389e-05	NA	3.74125124	-3.008450037	4.911739511	-3.74125124	-3.960094774	1.04411722843972e-06	3.88806017067218e-06
Igkv9-124	0.00046964455829629	0.00186160312866843	1.34015446712175e-08	1.54862293978514e-07	-3.493491485	5.89917563	-4.133577814	5.770141885	-4.6963335575	-4.9518598495	1.68624258186371e-10	1.54669147164051e-09
Iglc2	0.0396332712474165	0.0527908754672066	0.000146498670942754	0.000502281157518012	-2.860085257	3.429080294	-3.196673756	3.49441561	-3.1445827755	-3.345544683	7.58093994225466e-05	0.000181669371589166
Immt	0.631204684644894	0.696866916940168	NA	NA	NA	NA	-1.183998383	NA	NA	-1.183998383	NA	NA
Jup	0.012569035877484	0.0210954103653682	0.0225050759818197	0.0410618930194605	-2.738023959	0.964213778	2.40650946	0.835681584	-1.8511188685	0.785413938	0.00259404224399675	0.00401171649362288
K7TDN5	NA	NA	4.4742116246394e-05	0.000183678161432565	NA	3.38142182	NA	NA	-3.38142182	NA	NA	NA
K7TDV0	0.000145416702283288	0.000868193976448742	1.74415421380443e-06	1.08835222941397e-05	-3.959239399	NA	-4.754382647	5.801365628	-3.959239399	-5.2778741375	5.85760283436915e-09	3.54118716805044e-08
K7U6D5	0.00601801218630659	0.0116162261203542	NA	NA	NA	NA	-3.257459078	4.997653714	NA	-4.127556396	NA	NA
Ldha	0.00659590331002232	0.012400298222842	0.220387587038206	0.268352925337291	NA	-0.369203153	1.258760107	-0.806997899	0.369203153	1.032879003	0.0109513645793979	0.0147871217163444
LLRep3	NA	NA	0.00819853710128495	0.0180136871521191	1.750349241	-1.594530372	NA	NA	1.6724398065	NA	NA	NA
Lmna	0.840917450127346	0.898252730817846	NA	NA	NA	NA	0.120750053	1.116963537	NA	-0.498106742	NA	NA
LOC100046793	0.0513219297222297	0.0654454065062541	NA	NA	NA	NA	-4.237700515	2.199405372	NA	-3.2185529435	NA	NA
LOC207685	NA	NA	1.14871000780396e-05	5.27055180051227e-05	-3.623549573	3.645471104	NA	NA	-3.6345103385	NA	NA	NA
Lrrc59	0.0413323899326579	0.05396173130097	NA	NA	NA	NA	NA	-0.264321864	NA	0.264321864	NA	NA
Map1b	0.061229125878416	0.0763044788409047	0.461470242788336	0.481534166387829	-0.426334637	0.22342255	-0.244685096	-0.378475556	-0.3248785935	0.06689523	0.129027525760737	0.14300550771815
Matr3	0.630786053433793	0.696866916940168	0.48180187642037	0.499409253963972	-0.288469852	0.279530726	-1.185146099	NA	-0.284000289	-1.185146099	0.665878654704327	0.694587953300441
Mbp	0.0155734707972941	0.0246330379437969	0.191411849636385	0.238881988346209	0.425781539	-0.475535074	0.543297901	-0.853605451	0.4506583065	0.698451676	0.0203166858692312	0.0266218642424409
Mdh2	0.05331045659812	0.0674582316183903	NA	NA	NA	NA	0.138290234	NA	NA	0.138290234	NA	NA
Mgst3	NA	NA	0.313062286104035	0.351350479368557	0.171463056	-0.11303632	NA	NA	0.142249688	NA	NA	NA
mKIAA0531	0.410693136446822	0.467536477131503	NA	NA	NA	NA	-1.764003417	NA	NA	-1.764003417	NA	NA
Mpz	0.0134744274454266	0.0219459734135908	0.126869905068599	0.170618148195702	0.571628274	-0.759453637	0.469781807	-1.045163461	0.6655409555	0.757472634	0.0126016678959249	0.0169295134359395
Mvp	0.0125929078454798	0.0210954103653682	0.000203681656385541	0.000668933439918829	-2.613166986	3.538165647	-3.845681221	NA	-3.0756663165	-3.845681221	3.55849443952411e-05	9.37187644468726e-05
Myh2	0.203480303175102	0.234894806121433	NA	NA	NA	NA	-2.322288814	2.454017925	NA	-2.3881533695	NA	NA
Myh4	NA	NA	0.105983694671922	0.146288633657147	-1.102031633	1.390007262	NA	NA	-1.2460194475	NA	NA	NA
Myh9	0.805530479958781	0.868916484939145	0.407829784472554	0.431331839848938	-0.478868836	0.389126227	-0.490354824	0.788602195	-0.4339975315	-0.6394785095	0.694213766956653	0.707512881266167
Myl6	0.867868385504209	0.920547488966982	NA	NA	NA	NA	-0.375927187	NA	NA	-0.375927187	NA	NA
Ncl	0.0146923313854583	0.0235794001259306	0.0925900927551473	0.131309586089118	1.058939855	-0.565993683	0.910809399	-0.533868871	0.812466769	0.722339135	0.0103387725876179	0.0141031461964429
Ndel1	0.00133087669483862	0.00390945029108844	NA	NA	NA	NA	NA	-1.57664773	NA	1.57664773	NA	NA
Ndufa4	0.0237234670360434	0.034798863714066	0.26367325584003	0.303564781631326	0.247684513	-0.268608191	NA	-0.519631463	0.258146352	0.519631463	0.0379964473080146	0.0467919212219069
Nefh	0.910302292182395	0.930464117024924	0.0447475326410893	0.0719651040413394	-1.670887888	1.540969575	0.006908369	0.290778251	-1.6059287315	-0.141934941	0.171110294971547	0.186538272387014
Nefl	0.923875917323417	0.930464117024924	0.0329035171383146	0.0566430443817387	-1.787667239	1.650856448	0.097745622	0.197488002	-1.7192618435	-0.04987119	0.136592398182917	0.150761734094008
Nefm	0.930464117024924	0.930464117024924	0.0415551274920209	0.0671772009197436	-1.685013515	1.582604172	0.065710164	0.066950244	-1.6338088435	-0.000620040000000002	0.164437109237821	0.180001115461977
Nid1	0.0129678324082926	0.0213320843116414	NA	NA	NA	NA	0.772899122	NA	NA	0.772899122	NA	NA
Npm1	NA	NA	0.424594364565295	0.446038524391826	-0.399616054	NA	NA	NA	-0.399616054	NA	NA	NA
P01636	0.00605222954911115	0.0116162261203542	1.836736617402e-06	1.12105488742606e-05	-6.031645254	1.86971351	NA	4.125485797	-3.950679382	-4.125485797	2.14710649745119e-07	9.68017505630538e-07
P01666	NA	NA	0.000162673294334767	0.000545742664865026	-2.70726536	3.538414002	NA	NA	-3.122839681	NA	NA	NA
P01747	1.06746866521418e-05	0.000125427568162666	NA	NA	NA	NA	-5.926294913	NA	NA	-5.926294913	NA	NA
P4hb	0.0125575613392747	0.0210954103653682	NA	NA	NA	NA	0.364796523	-1.206761645	NA	0.785779084	NA	NA
Pabpc1	0.00241834319312392	0.00604133571662309	0.00670913584402657	0.0158579574495174	1.68212379	-1.778778698	1.531518705	-1.235789746	1.730451244	1.3836542255	0.000195169754916347	0.000408780746517702
Pcbp2	NA	NA	0.0159341752016338	0.0303137967250595	1.358339994	-1.580310105	NA	NA	1.4693250495	NA	NA	NA
Pcmt1	NA	NA	0.35330183207188	0.386772531952374	-0.548627975	NA	NA	NA	-0.548627975	NA	NA	NA
Pdha1	0.00369413597039089	0.00810247156172403	1.86842481237677e-06	1.12105488742606e-05	-3.651867315	4.243821384	-4.564938995	4.037118612	-3.9478443495	-4.3010288035	1.3660466566924e-07	6.98785405154187e-07
Pdhb	0.0166959823353456	0.0260330719826005	7.32779771305979e-05	0.000275454564635501	-3.954534662	2.615298579	-3.953930879	3.507414099	-3.2849166205	-3.730672489	1.78792676449448e-05	5.34369122871384e-05
Pdhx	0.0295367662079446	0.0417064209545656	2.5284415571723e-06	1.40870315328171e-05	-3.897371428	NA	-3.482774707	NA	-3.897371428	-3.482774707	1.30021540586823e-06	4.67374726974256e-06
Pdia3	0.0255537825694603	0.0370360989663103	0.508168512602607	0.521541368197412	-0.507972508	-0.045744121	0.392427338	-0.581237946	-0.2311141935	0.486832642	0.0693940528343499	0.0813163790922339
Pfkp	0.00390395515359609	0.00850596851346432	0.149733055804079	0.195952004351435	NA	-0.58255521	NA	-1.220815936	0.58255521	1.220815936	0.00493633926696703	0.00733556561459905
Pgam5	1.35803652129955e-05	0.00013539212591138	NA	NA	NA	NA	3.199845065	-2.418504129	NA	2.809174597	NA	NA
Phb2	NA	NA	0.240954750974278	0.28803786323362	-0.877367035	0.74278234	NA	NA	-0.8100746875	NA	NA	NA
Plec	0.0178206452079807	0.027143482747341	0.484662788904003	0.500711225622679	-0.416654223	0.139862368	0.281193775	-1.003611254	-0.2782582955	0.6424025145	0.0496774498532252	0.0597927676966421
Ppap2b	6.29312128252503e-08	2.58804612743842e-06	7.43839462675034e-08	6.44660867651696e-07	5.384913231	-2.526493604	4.304511042	-3.565810018	3.9557034175	3.93516053	1.59134207864182e-13	3.25613071475942e-12
Prdx1	0.00194053431424278	0.00514803789842368	0.0611966809336746	0.094055982518751	0.779721981	-1.196938325	1.304744658	-1.607264943	0.988330153	1.4560048005	0.00119210919845158	0.00203269901787257
Prdx2	0.0209920263958867	0.0311098048839943	NA	NA	NA	NA	NA	-0.572780028	NA	0.572780028	NA	NA
Prelp	NA	NA	0.132721097731072	0.176961463641429	-1.138378062	NA	NA	NA	-1.138378062	NA	NA	NA
Prkaa1	6.58265319305382e-06	9.02372041881128e-05	6.91224466777468e-09	9.80281971066227e-08	5.112491636	-3.473258088	2.823871617	-3.128093284	4.292874862	2.9759824505	1.44333635389301e-12	1.91963735067771e-11
Prkaa2	3.01749667977446e-07	8.4465858628562e-06	3.77148723683922e-08	3.67720005591824e-07	3.766807151	-4.342444135	3.990864122	-3.269929627	4.054625643	3.6303968745	3.76771192842283e-13	6.26382108100295e-12
Prkab1	0.000201322451161354	0.00103492322550134	0.00018675851895593	0.000619879339513299	3.52656966	-1.67134733	1.160016608	-3.097887821	2.598958495	2.1289522145	6.80396924151331e-07	2.62297944672832e-06
Prkab2	1.68769552470668e-08	7.93216896612142e-07	7.1366701143755e-11	3.71106845947526e-09	5.446984012	-4.318584919	4.170325694	-4.188127866	4.8827844655	4.17922678	5.09007777922474e-17	2.70792137854756e-15
Prkag1	3.66743275456343e-09	2.01097562708562e-07	1.17115224278683e-10	4.265395836268e-09	5.22808754	-4.416022715	5.144454314	-3.756584388	4.8220551275	4.450519351	1.85942865715164e-17	1.23652005700584e-15
Prkag2	6.12699664391285e-06	8.76426911237968e-05	8.41173018150544e-09	1.14106948549117e-07	5.172487516	-3.359342057	2.921531542	-3.062866566	4.2659147865	2.992199054	1.62843786164303e-12	2.06268795808117e-11
Prkra	0.0159401533749345	0.0250923945471456	NA	NA	NA	NA	0.688851744	NA	NA	0.688851744	NA	NA
Prph	0.633912274659522	0.697515512919675	0.0262388223344301	0.0465250630417427	-1.75029982	1.847355566	-1.159105784	1.194023996	-1.798827693	-1.17656489	0.0847683226948372	0.0977738830781281
Prx	0.0055352647420229	0.0108398934531282	0.221047121191294	0.268352925337291	0.307311939	-0.427537141	1.326997465	-0.866831067	0.36742454	1.096914266	0.00942870392234315	0.0129280167182643
Psmc1	2.67128286622789e-06	5.02877647940235e-05	1.3671140500859e-10	4.265395836268e-09	5.819872517	-3.786014496	3.594667973	-2.757598708	4.8029435065	3.1761333405	1.33464471613821e-14	5.07164992132520e-13
Psmc2	8.79840086853995e-11	1.44733694287482e-08	2.93046202811714e-16	4.57152076386273e-14	6.275714808	-6.176576709	4.485813212	-5.651957988	6.2261457585	5.0688856	1.54494184730186e-24	2.05477265691148e-22
Psmc3	2.1511830950026e-09	1.76934809563964e-07	5.2157409041368e-06	2.6677232165421e-05	2.503323291	-4.054428252	5.390702074	-3.694545382	3.2788757715	4.542623728	3.71618939514434e-13	6.26382108100295e-12
Psmc4	1.66979534281275e-10	1.83120889261798e-08	1.0244805109585e-10	4.265395836268e-09	3.873321063	-5.803735416	5.736415462	-4.196911866	4.8385282395	4.966663664	7.95716283795839e-19	7.05535104965644e-17
Psmc5	3.09628477418313e-07	8.4465858628562e-06	1.07949341796044e-08	1.29539210155253e-07	5.300709472	-3.162169757	4.389566812	-2.860923485	4.2314396145	3.6252451485	1.14752202973291e-13	2.54367383257462e-12
Psmc6	3.69728654103423e-06	6.0820363600013e-05	7.20983596156675e-10	1.73036063077602e-08	4.625445847	-4.560574731	3.113667165	-3.096159598	4.593010289	3.1049133815	9.21215138967649e-14	2.22766569968541e-12
Psmd1	4.00007374768486e-05	0.000320981527558127	3.58011049225952e-06	1.92585254066374e-05	4.373578615	-2.313512919	2.798423845	-2.29938273	3.343545767	2.5489032875	3.38924275885449e-09	2.19887457037877e-08
Psmd11	7.16280102061267e-06	9.09834755240684e-05	2.50241678134805e-08	2.60251345260197e-07	4.475214616	-3.751484594	2.465870012	-3.447768534	4.113349605	2.956819273	5.44003509353551e-12	6.29151884730629e-11
Psmd12	0.00164934650788087	0.00452195834244006	1.74739581558397e-05	7.67869710510141e-05	3.406672716	-2.719946395	1.318634995	-1.698388943	3.0633095555	1.508511969	5.29209119102827e-07	2.19952540127112e-06
Psmd13	1.35385976832262e-07	4.9491095975349e-06	1.00439102061493e-08	1.25347999372743e-07	3.933006024	-4.549856647	4.023787614	-3.552731856	4.2414313355	3.788259735	4.79078677078592e-14	1.41594364558784e-12
Psmd14	0.000450991432487601	0.00180946562546855	0.00013232988668181	0.000458743607163608	1.983312871	-3.357832636	1.100103022	-2.705005853	2.6705727535	1.9025544375	1.05240726424209e-06	3.88806017067218e-06
Psmd2	5.38737544979834e-07	1.18163101532244e-05	8.82335607813431e-10	1.83525806425194e-08	6.042972583	-3.090864395	4.000991512	-3.025735022	4.566918489	3.513363267	1.72467824249505e-14	5.73455515629605e-13
Psmd3	0.00106219576707456	0.0033808471245596	5.28316256883948e-08	4.70956206136548e-07	3.994308175	-4.01730024	0.232783534	-3.061059356	4.0058042075	1.646921445	1.38069171939216e-09	9.6648420357451e-09
Psmd4	6.05675086887037e-06	8.76426911237968e-05	NA	NA	NA	NA	3.113400462	-2.876201392	NA	2.994800927	NA	NA
Psmd5	1.23109635834295e-05	0.000130655065127365	2.61111584864402e-07	2.03667036194233e-06	4.032806145	-3.50082202	3.399171094	-2.265067152	3.7668140825	2.832119123	8.8281868136868e-11	8.69739886089144e-10
Psmd6	1.94053640466096e-05	0.000177343465870404	3.86571479606977e-07	2.87167384850897e-06	3.924479992	-3.487653758	2.518182605	-2.931370459	3.706066875	2.724776532	1.99660854172374e-10	1.67518068048914e-09
Psmd7	2.33203339454295e-07	7.67238986804632e-06	1.26947780381125e-07	1.04230809155029e-06	3.91981677	-3.832755128	3.506144903	-3.857134382	3.876285949	3.6816396425	9.51814397390139e-13	1.33349507109002e-11
Psmd8	0.0001490216040662	0.000868193976448742	5.31127081797788e-06	2.67276854065984e-05	3.512858954	-3.038598927	2.794166298	-1.626424169	3.2757289405	2.2102952335	1.73789140024728e-08	1.0049545923169e-07
ptplad1	NA	NA	0.0592130766224048	0.0914578213177738	NA	-1.001616724	NA	NA	1.001616724	NA	NA	NA
Ptrf	0.00944108994224364	0.0167898302216117	NA	NA	NA	NA	0.897705112	NA	NA	0.897705112	NA	NA
Puf60	NA	NA	0.200067644462923	0.246723735464159	NA	-0.425598113	NA	NA	0.425598113	NA	NA	NA
Pura	0.00125546143199778	0.00373996284101079	0.00709226835522732	0.0162704979914039	1.835641165	-1.593398026	1.524113838	-1.665797879	1.7145195955	1.5949558585	0.00011244951142414	0.000253487881684926
Purb	0.00138411421470747	0.00397826862165443	0.00875450575906957	0.0187082588823953	1.563597463	-1.742699665	1.238481171	-1.89009122	1.653148564	1.5642861955	0.000149295029214326	0.000328202295628187
Pygm	0.872981205342549	0.920547488966982	0.0022123295301296	0.00595040356379686	2.029417547	NA	-0.350872036	NA	2.029417547	-0.350872036	0.0140012170650532	0.0186216186965208
Q7TS98	0.0276257918886633	0.0398046087176957	1.13742280387821e-07	9.59124094081086e-07	-3.883763015	4.891662208	-3.587619505	3.438425935	-4.3877126115	-3.51302272	6.46616709268748e-08	3.44000089330974e-07
Q811C3	0.00107899376315732	0.0033808471245596	6.41280145833854e-09	9.52759073810298e-08	-3.861783174	5.734465764	NA	4.7031007	-4.798124469	-4.7031007	1.8472439148954e-10	1.63788960454059e-09
Q811U5	0.00433775195363203	0.00914820764580089	3.16821081132877e-09	6.1780110820911e-08	-5.144584307	4.642470537	-4.981194934	3.508682179	-4.893527422	-4.2449385565	3.5745999984644e-10	2.88134424118646e-09
Q9JL74	0.00453820322330974	0.00933168037793065	NA	NA	NA	NA	-4.228990021	NA	NA	-4.228990021	NA	NA
Rars	0.922321235547118	0.930464117024924	0.326598166668527	0.365228057349751	NA	-0.11196013	NA	0.061015775	0.11196013	-0.061015775	0.662668319500131	0.693975484200924
Rbfox3	NA	NA	0.00140296748408919	0.0040158335324388	2.077619008	-2.208494292	NA	NA	2.14305665	NA	NA	NA
Rpl10	2.90415662944208e-06	5.02877647940235e-05	0.00306700368582942	0.00797282258655138	1.944895918	NA	NA	-3.157914206	1.944895918	3.157914206	1.74012062592333e-07	8.12056292097554e-07
Rpl10a	5.87962095342541e-05	0.000424207323686374	0.00208506058800676	0.00572993869830645	2.123997204	-1.964939203	2.507058837	-2.39775218	2.0444682035	2.4524055085	2.07359702910766e-06	6.98198493345111e-06
Rpl12	0.000709179760071453	0.00265136523935805	0.0109954683598466	0.0221328137307879	1.611361264	-1.558431534	1.770490792	-1.768715064	1.584896399	1.769602928	9.95125138997026e-05	0.000230176771281051
Rpl13	0.00140252750683187	0.00397826862165443	0.0080079392728066	0.0177196954121678	1.641823444	-1.716813093	1.822934048	-1.297289271	1.6793182685	1.5601116595	0.000139232875615739	0.000308632874281555
Rpl14	0.00607292064650736	0.0116162261203542	0.0262449073568805	0.0465250630417427	NA	-1.303756854	0.718526026	-1.40789942	1.303756854	1.063212723	0.00155306199633182	0.00256592851567866
Rpl15	0.00360184069514947	0.00800679451827146	0.068458469601551	0.102687704402327	0.942383132	NA	1.173703117	-1.323804819	0.942383132	1.248753968	0.00229509419708376	0.00359114739073106
Rpl17	0.000383938854211081	0.00164870396265197	0.0044896123599838	0.0112060724505196	1.759837596	-1.925658983	2.182755851	-1.714775355	1.8427482895	1.948765603	2.45994732477894e-05	7.19061525704613e-05
Rpl18a	0.000571461102178414	0.00221189061901998	NA	NA	NA	NA	3.016425003	-0.650747968	NA	1.8335864855	NA	NA
Rpl21	0.0001909869945021	0.00102413580525262	0.00891791681752689	0.0187999327504621	1.647682908	NA	1.993348292	-2.293288224	1.647682908	2.143318258	2.43268899626743e-05	7.18994747785708e-05
Rpl23	0.00102894872328072	0.00335172405900352	0.0106694819561234	0.0216160933137046	1.594022969	NA	1.65672517	NA	1.594022969	1.65672517	0.000136346553582891	0.000304774649185287
Rpl23a	0.000243199278187957	0.00119421735110206	0.00828498236878499	0.0180763251682582	1.579083579	-1.759649031	1.993819258	-2.160233859	1.669366305	2.0770265585	2.84402173175662e-05	8.04797638986448e-05
Rpl24	0.000441858328342037	0.00180946562546855	NA	NA	NA	NA	1.583807883	-2.233108062	NA	1.9084579725	NA	NA
Rpl26	2.80571631760953e-05	0.000236687350895778	NA	NA	NA	NA	2.711384773	-2.560557709	NA	2.635971241	NA	NA
Rpl27	1.21435185717042e-05	0.000130655065127365	0.000812069495231551	0.00241300650011661	2.271604956	-2.275786313	2.801924302	-2.868700269	2.2736956345	2.8353122855	1.91652385805859e-07	8.78957493523422e-07
Rpl27a	1.1513620431401e-05	0.000130620038687273	0.00691720818852641	0.0161111526326668	1.268913416	-2.174491136	3.252809222	-2.442614419	1.721702276	2.8477118205	1.38144996063389e-06	4.89954252704821e-06
Rpl28	0.0014526137980681	0.0040847003381573	0.0903746579001785	0.128752937282446	0.560910561	-1.085588556	2.022154722	-1.075854496	0.8232495585	1.549004609	0.00130467933044102	0.00218267108111517
Rpl3	0.000104548009657035	0.000649706291789522	0.0231403778195666	0.0417329357208368	1.33187716	-1.361601738	2.415569395	-2.192776988	1.346739449	2.3041731915	3.37055128795351e-05	9.14863921015953e-05
Rpl30	0.00107736419535147	0.0033808471245596	0.00431795740916523	0.0108645379972545	1.731487392	-1.975283173	1.335940529	-1.949143114	1.8533852825	1.6425418215	6.17704044322617e-05	0.000150742454853042
Rpl31	0.000361452620950065	0.00162501521075895	0.0100738641978329	0.0205427818936201	1.620820976	-1.601868568	1.836489726	-2.095419565	1.611344772	1.9659546455	4.92409741527548e-05	0.000122412141351708
Rpl34	0.0192401384973245	0.0287727525709989	NA	NA	NA	NA	NA	-0.610036777	NA	0.610036777	NA	NA
Rpl35a	0.000250763755841091	0.00120677469561586	NA	NA	NA	NA	2.175588471	-1.961507629	NA	2.06854805	NA	NA
Rpl36a	3.59429185653455e-07	8.4465858628562e-06	4.25178036310612e-05	0.000176874063105215	NA	-2.896253959	NA	-3.59534098	2.896253959	3.59534098	3.95873682202009e-10	3.00863998473527e-09
Rpl37a	0.000163904374033181	0.000913975238252823	0.000435466418257475	0.00134520319303299	2.610038557	-2.221623189	2.291190964	-2.078259014	2.415830873	2.184724989	1.24587087748112e-06	4.539748676849e-06
Rpl4	0.00255613694746915	0.00627326722476588	NA	NA	NA	NA	NA	-1.365202306	NA	1.365202306	NA	NA
Rpl5	0.000196111111644119	0.00102413580525262	NA	NA	NA	NA	2.020057652	-2.252157197	NA	2.1361074245	NA	NA
Rpl6	0.000127851356471489	0.000778946227391112	0.019575904769003	0.0359275428701703	NA	-1.402549872	2.117528824	-2.384734384	1.402549872	2.251131604	3.47842429294303e-05	9.25260861922846e-05
Rpl7	6.9404347991013e-05	0.000474727309634246	NA	NA	NA	NA	NA	-2.410198169	NA	2.410198169	NA	NA
Rpl7a	NA	NA	0.0678176015972879	0.102217834291564	0.946281702	NA	NA	NA	0.946281702	NA	NA	NA
Rpl8	2.28633563242249e-05	0.000203298492720811	0.000840918529082027	0.00247515642522257	2.746226761	-1.784830863	2.876133814	-2.494840763	2.265528812	2.6854872885	3.60818294567251e-07	1.59962777258148e-06
Rpl9	5.9311662278338e-05	0.000424207323686374	0.00581678608688385	0.0142900571583288	2.055126225	-1.486731613	2.552622992	-2.347765927	1.770928919	2.4501944595	5.47855227767662e-06	1.79912951340985e-05
